State,PrisonPop,PrisonRate100k,JailPop,JailRate100k
Alabama,27799.00,571.00,15589.00,410.00
Alaska,2089.00,281.00,64.00,0.00
Arizona,40849.00,585.00,13970.00,270.00
Arkanas,14476.00,583.00,8610.00,380.00
California,130340.00,331.00,82220.00,280.00
Colorado,19862.00,356.00,11660.00,290.00
Connecticut,10365.00,290.00,0.00,0.00
Delaware,4090.00,428.00,0.00,0.00
District_of_Columbia,0.00,0.00,2448.00,450.00
Florida,99974.00,481.00,52430.00,330.00
Georgia,53064.00,512.00,41750.00,550.00
Hawaii,3629.00,254.00,0.00,0.00
Idaho,7376.00,435.00,3349.00,280.00
Illinois,43657.00,341.00,20600.00,210.00
Indiana,25530.00,384.00,16600.00,330.00
Iowa,8998.00,286.00,4010.00,170.00
Kansas,9628.00,331.00,6860.00,310.00
Kentucky,23018.00,518.00,19200.00,570.00
Louisana,35646.00,760.00,30950.00,870.00
Maine,1828.00,137.00,1750.00,160.00
Maryland,19821.00,329.00,11529.00,250.00
Massachusetts,8494.00,156.00,10350.00,190.00
Michigan,41122.00,414.00,16350.00,210.00
Minnesota,10592.00,191.00,6400.00,150.00
Mississippi,18666.00,624.00,13390.00,590.00
Missouri,32461.00,532.00,11430.00,240.00
Montana,3814.00,364.00,2870.00,360.00
Nebraska,5235.00,274.00,3480.00,240.00
Nevada,13637.00,460.00,6810.00,320.00
New_Hampshire,2818.00,211.00,1837.00,170.00
New_Jersey,19786.00,221.00,15235.00,220.00
New_Mexico,6972.00,335.00,8900.00,560.00
New_York,50620.00,256.00,26950.00,170.00
North_Carolina,34596.00,339.00,18520.00,240.00
North_Dakota,1779.00,234.00,1230.00,220.00
Ohio,52175.00,449.00,18190.00,200.00
Oklahoma,26486.00,673.00,12670.00,430.00
Oregon,15150.00,367.00,5630.00,180.00
Pennsylvania,49000.00,383.00,36720.00,360.00
Rhode_Island,2030.00,192.00,0.00,0.00
South_Carolina,20371.00,408.00,10880.00,290.00
South_Dakota,3820.00,440.00,1682.00,260.00
Tennessee,28203.00,422.00,26630.00,530.00
Texas,157903.00,563.00,66210.00,340.00
Utah,6181.00,201.00,7170.00,350.00
Vermont,1229.00,197.00,0.00,0.00
Virginia,37813.00,448.00,28690.00,450.00
Washington,19019.00,259.00,12150.00,220.00
West_Virginia,7162.00,392.00,4027.00,270.00
Wisconsin,22144.00,383.00,12150.00,270.00
Wyoming,2374.00,406.00,1463.00,320.00